"id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR","CLOSE_HOUR","WEEKENDS","EVENINGS","dementia","reable","respite","terminal","mental_health","WEBSITE","MAIN_EMAIL","MAIN_PHONE","PUB_HOLIDAYS","DESCRIPTION","RELIGION"
828,"Bolton Clarke RDNS Eastern Metro Melbourne","347 BURWOOD Highway, FOREST HILL, 3131, VIC","VIC",3131,"FOREST HILL","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","packagedcarevic@rdns.com.au","+611300334455","TRUE","Royal District Nursing Service (RDNS) is a not-for-profit organisation that has provided home nursing and community care services for 130 years across Australia. RDNS is privileged to have provided care to many generations since our humble beginnings, and we are proud to have worked with veterans since World War I.

At RDNS we provide a comprehensive range of innovative health care, domestic and support services tailored to your goals to assist you in staying independent and well in your home and maintaining the interests and connections that matter to you.

RDNS has very diverse customer and employee populations with diverse needs from diverse backgrounds.  RDNS is committed to working in partnership with our customers, their carers and families to provide holistic programs.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
831,"Blue Care Hervey Bay Community Care Respite Care","58 EXETER Street, TORQUAY, 4655, QLD","QLD",4655,"TORQUAY","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","communitycare@bluecare.org.au","+611300258322","TRUE","When you choose Blue Care, you are choosing a trusted and experienced service provider that’s here to ensure you and your family can continue living life your way.



Catering to all levels of home care packages and providing a full range of services for what you need today, and into the future. 



We know that everyone - and their family - is different, which is why we offer a tailored, personalised service designed around your individual needs. It’s all about offering choice and flexibility in the services we provide including a range of package management services to suit those who want to self-manage their home care package through to those who wish to be fully supported.



We have been supporting people in their local communities ever since the first Blue Care nurse visited a client in their home over 60 years ago. Our clients trust us, and as one of Queensland’s leading aged care providers, you can trust us too.



Home is where the heart is.","Anglican, Anglican Catholic Church, Anglican Church of Australia, Assemblies of God, Baptist, Born Again Christian, Buddhism, Catholic, Christian, Church of Jesus Christ of LDS, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, No religion, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church, Wesleyan Methodist Church"
834,"Arcare Home Packages West","7 CIVIC Drive, EPPING, 3076, VIC","VIC",3076,"EPPING","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.arcare.com.au/home-care/","hcviccareconsultants@arcare.com.au","+611300175014","TRUE","Arcare’s foundations are built on 40 years in seniors living 

•	Your Care Consultant (tertiary qualified in healthcare) will work with you to develop your support plan

•	Access to Clinical Care Advisors (Registered Nurses) for clinical support and advice

•	We will tailor your care needs with a wide range of Arcare approved providers (gardeners, cleaners, allied health etc) 

•	All Arcare Support Staff are trained, have a clear police clearance, current first aid, CPR and manual handling certificate

•	Our staff are professionally dressed, no labelled uniforms, unmarked vehicles to maintain your privacy and security 

•	You will have access to a free emergency 24/7 call support

•	Free monthly phone monitoring and 6 monthly face to face reviews with your Care Consultant","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
835,"SAI HOME CARE","411 NEPEAN Highway, FRANKSTON, 3199, VIC","VIC",3199,"FRANKSTON","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.saihomecare.com.au","admin@saihomecare.com.au","+610387850999","TRUE","SAI Home and Community Care is an innovative service that ensures all of the individual needs of clients are taken care of 24 hours a day, 7 days a week. We provide carers that are fully qualified to support the elderly, people with disabilities, new mums and those dealing with injury or surgery recovery with a level of customer service that exceeds their expectations. We encourage our clients to maintain their independence, dignity and stay in the comfort of their own home for as long as it is safe to do so.

The word SAI comes from the ancient language Sanskrit and means to nurture and empower. At SAI Home and Community Care we take the time to know our clients and their families, we work hard to understand their needs and take care in carefully matching the right carers with our clients to ensure that the relationship works well and is ongoing.   



We are also excited to announce that we are currently developing an industry leading well-being centre.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
836,"Bolton Clarke RDNS Sydney and surrounds","Level 2, 20 Lexington Drive, BELLA VISTA, 2153, NSW","NSW",2153,"BELLA VISTA","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.rdns.com.au/services-we-provide/home-care-services/home-care-packages/","packagedcarensw@rdns.com.au","+611300665444","TRUE","Royal District Nursing Service (RDNS) is a not-for-profit organisation that has provided home nursing and community care services for 130 years across Australia. RDNS is privileged to have provided care to many generations since our humble beginnings, and we are proud to have worked with veterans since World War I.

At RDNS we provide a comprehensive range of innovative health care, domestic and support services tailored to your goals to assist you in staying independent and well in your home and maintaining the interests and connections that matter to you.

RDNS has very diverse customer and employee populations with diverse needs from diverse backgrounds.  RDNS is committed to working in partnership with our customers, their carers and families to provide holistic programs.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
842,"MannaCare Home Care Packages","371 Manningham Road, DONCASTER, 3108, VIC","VIC",3108,"DONCASTER","08:30","17:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://mannacare.org.au/our-services/community-services/home-care-packages/","homecare@mannacare.org.au","+611300902023","TRUE","MannaCare provides for all Home Care Packages: Level 1- entry level care needs

Level 2  - support people with low level care needs

Level 3  support people with intermediate care needs

Level 4  support people with high care needs.



Home Care Packages assists people (“consumers”) to remain at home for as long as possible, enables choice and flexibility in the way that the package is managed. All packages are offered under the Consumer Directed Care model of service.",""
843,"BaptistCare Northern Sydney","157 Balaclava Road, MACQUARIE PARK, 2113, NSW","NSW",2113,"MACQUARIE PARK","06:30","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","https://youchoose.org.au/","customerengagement@baptistcare.org.au","+611300275227","TRUE","Maintaining independence at home looks different for everyone. BaptistCare understands the value of doing things for yourself and wants to enable you to live independently.



We know everyone’s needs are different, which is why individuality is a big part of our promise to deliver Care you can trust. It’s also the reason we’ve developed a new approach that puts you firmly in control of your care. 



To keep things simple we have divided our care services into four areas, and you can tailor these areas to your specific needs;



Your Health

Your Home

Your Community

Your Independence. 



All our services are flexible. YouChoose as little or as much care as you like.



Design your care package today

If you or someone you love is looking for help design your home care package today at YouChoose.org.au or call our Customer Engagement Centre on 1300 275 227



It’s your life, so YouChoose.","Agnosticism, Anglican, Atheism, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, No religion, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
844,"RSL LifeCare at Home Southern Sydney","47 Andover Street, CARLTON, 2218, NSW","NSW",2218,"CARLTON","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://rsllifecareathome.org.au","sydneyenquiry@rsllifecare.org.au","+610295873177","TRUE","Make your HomeCare Package go further! As a ‘not for profit’ organisation, our focus is on delivering value and choice of quality customised services that will meet your personal needs. We offer an extensive range of tailored services to choose from including; receiving a helping hand in the home or garden, support in maintaining your everyday health, transport, social activities, post-hospital care, nursing and allied health services. 



Why else would you choose the trusted RSL LifeCare at Home team?

• Responsive to your changing needs – The RSL LifeCare team includes registered nurses and professional carers to support your changing needs

• Value for money with no hidden surprises – No joining, exit or hidden fees 

• Ability to deliver multi-day visits 

• No waiting period – We can commence services without delay 

• Supporting you 24 hours a day, 7 days a week



To find out how we can help you or your loved one please call RSL LifeCare at Home today on 1300 853 146.",""
846,"Care Connect Victoria CHSP Home Care Package Level","Level 1, 204-206 GIPPS Street, ABBOTSFORD, 3067, VIC","VIC",3067,"ABBOTSFORD","08:30","17:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.careconnect.org.au","myagedcareportal@careconnect.org.au","+611800692464","TRUE","Care Connect is Australia’s largest independent home care specialist and has been helping people live independently at home for over 20 years

We offer independent home care advice, access to Australia’s widest network of quality service providers and the coordination of your services

As home care specialists we can help you navigate the home care system so you can stay living at home, longer.

Our home care advice and services are truly independent which means we have no financial incentive to recommend one service over another

With Australia’s largest network of trusted home care service providers, we find and connect you to the right services and carers to meet your individual needs

We make your choice possible so that your Home Care Package is exactly what you want

Care Connect does not charge a Basic Daily Fee	

Call 1800 MYCHOICE (Freecall 1800 692 464) to find out how you can stay living happily at home","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
855,"BaptistCare South East Sydney Inner West","18 Powdrill Road, PRESTONS, 2170, NSW","NSW",2170,"PRESTONS","06:30","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","https://youchoose.org.au/","customerengagement@baptistcare.org.au","+611300275227","TRUE","Maintaining independence at home looks different for everyone. BaptistCare understands the value of doing things for yourself and wants to enable you to live independently.



We know everyone’s needs are different, which is why individuality is a big part of our promise to deliver Care you can trust. It’s also the reason we’ve developed a new approach that puts you firmly in control of your care. 



To keep things simple we have divided our care services into four areas, and you can tailor these areas to your specific needs;



Your Health

Your Home

Your Community

Your Independence. 



All our services are flexible. YouChoose as little or as much care as you like.



Design your care package today

If you or someone you love is looking for help design your home care package today at YouChoose.org.au or call our Customer Engagement Centre on 1300 275 227



It’s your life, so YouChoose.","Agnosticism, Anglican, Atheism, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, No religion, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
859,"Bolton Clarke RDNS Western Metro Melbourne","213-279 ROBINSONS Road, RAVENHALL, 3023, VIC","VIC",3023,"RAVENHALL","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.rdns.com.au/services-we-provide/home-care-services/home-care-packages/","packagedcarevic@rdns.com.au","+611300334455","TRUE","Royal District Nursing Service (RDNS) is a not-for-profit organisation that has provided home nursing and community care services for 130 years across Australia. RDNS is privileged to have provided care to many generations since our humble beginnings, and we are proud to have worked with veterans since World War I.

At RDNS we provide a comprehensive range of innovative health care, domestic and support services tailored to your goals to assist you in staying independent and well in your home and maintaining the interests and connections that matter to you.

RDNS has very diverse customer and employee populations with diverse needs from diverse backgrounds.  RDNS is committed to working in partnership with our customers, their carers and families to provide holistic programs.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
861,"Uniting AgeWell Gippsland Community Services","49 MCCULLOCH Street, BAIRNSDALE, 3875, VIC","VIC",3875,"BAIRNSDALE","08:00","17:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.unitingagewell.org","gippsland@unitingagewell.org","+610351529699","TRUE","Uniting AgeWell takes a different approach to ageing. A leading not-for-profit provider of aged care services in Victoria and Tasmania, we support seniors in the Gippsland region to remain living at home, safely and independently. 



Our personalised Home Care Packages help you keep doing the things that are important to you, that bring you pleasure and help you stay connected to your community. 



This may be having someone do your household chores, taking you to your weekly coffee catch up, weeding your garden or simply sharing a cuppa and having a chat.  The care you receive is tailored just for you.



Whether you need a little help or more intensive support, Uniting AgeWell’s experienced and dedicated staff are ready to support you to remain living at home and doing the things you love.  



Contact us today to find out how. T: 1300 783 435, or visit unitingagewell.org","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
863,"Blue Care Biggenden Community Care Biggenden Respite","45 Edward Street, BIGGENDEN, 4621, QLD","QLD",4621,"BIGGENDEN","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","communitycare@bluecare.org.au","+611300258322","TRUE","When you choose Blue Care, you are choosing a trusted and experienced service provider that’s here to ensure you and your family can continue living life your way.



Catering to all levels of home care packages and providing a full range of services for what you need today, and into the future. 



We know that everyone - and their family - is different, which is why we offer a tailored, personalised service designed around your individual needs. It’s all about offering choice and flexibility in the services we provide including a range of package management services to suit those who want to self-manage their home care package through to those who wish to be fully supported.



We have been supporting people in their local communities ever since the first Blue Care nurse visited a client in their home over 60 years ago. Our clients trust us, and as one of Queensland’s leading aged care providers, you can trust us too.



Home is where the heart is.","Anglican, Anglican Catholic Church, Anglican Church of Australia, Assemblies of God, Baptist, Born Again Christian, Buddhism, Catholic, Christian, Church of Jesus Christ of LDS, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, No religion, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church, Wesleyan Methodist Church"
864,"ACH Group Home Care East ","163 MONTACUTE Road, NEWTON, 5074, SA","SA",5074,"NEWTON","07:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://achgroup.org.au/","dlhcshomecareteamleaders@ach.org.au","+611300224477","TRUE","When you choose ACH Group to deliver a range of specialised Home Care services that support you to live a good life, we put you in the driver’s seat. Our philosophy is to do with – not for - you, so that you retain control over your life and your home.



Proudly not-for-profit, ACH Group was founded 65 years ago, and has been supporting older people  to live Good Lives ever since. 



We can help you keep your home in great shape through jobs in the garden like pruning and lawn care, as well as support for you to look and feel your best by assisting with more complex personal home care and medical needs. 



We can also connect you with activities, allied health professionals, exercise programs and opportunities to suit your interests.



Our qualified and experienced staff are leaders in dementia care and are equipped to meet the needs of people living with memory loss.



Let’s talk - call us on 1300 22 44 77.","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, New Churches (Swedenborgian), No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Ukrainian Orthodox, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism"
865,"Anglicare Southern Queensland Sunshine Coast","174 CURRIE Street, NAMBOUR, 4560, QLD","QLD",4560,"NAMBOUR","07:00","17:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","clientadmin@anglicaresq.org.au","+611300610610","TRUE","For over 140 years, Anglicare has been proud to provide you with the support you need for the life you want. An example of this support is the comprehensive range of government subsidised in-home services that make staying at home a little less daunting. These services, offered under the Help at Home banner are designed to help clients live in their own home, on their own terms.

Some of the services offered by Anglicare’s respectful and professional team include: Help with housework, garden maintenance and minor maintenance and modifications to meet individual needs for those who want to stay in their own home, but need a little support. Social support with activities, outings and assistance with transport for those who want to stay connected, but need help making it happen. Tailored health and wellbeing activities and services and assistance staying physically active for those who want to be in control of their own wellbeing, but need help to stay healthy.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
866,"COASIT Italian Assistance Association","189 FARADAY Street, CARLTON, 3053, VIC","VIC",3053,"CARLTON",NaN,NaN,"TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://italianagedcare.coasit.com.au","agedcareenquiries@coasit.com.au","+610393499000","TRUE","Experienced provider catering to the specific cultural and language needs of older Italians requiring support to remain independent and continue living in the community.","Catholic, Other Christian"
867,"HammondCare At Home South West Sydney","Level 1, 11-23 Judd Avenue, HAMMONDVILLE, 2170, NSW","NSW",2170,"HAMMONDVILLE","07:00","19:00","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.hammondcareathome.com.au","support@hammond.com.au","+611800826166","TRUE","Life is all about making choices, and few are more important than those we make when caring for our loved ones. But having too many choices can be confusing. The HammondCare team are here to help make things simple and straightforward. As such, we are available to help guide you through the Home Care Package process with no obligation, or to answer any questions you might have. You can call us on 1800 826 166 or visit our website www.hammondcareathome.com.au. We are here to help.",""
869,"Home Care Packages Northern Settlement Services Ltd","8 CHAUCER Street, HAMILTON, 2303, NSW","NSW",2303,"HAMILTON","07:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://ww.nsservices.com.au","hcp@nsservices.com.au","+610249693399","TRUE","Northern Settlement Services is a Newcastle based Not For Profit community organisation. Our staff are a dedicated group of professionals who are culturally responsive and sensitive to the needs of older Australians offering a range of Home Care Packages Level 2 to Level 4. Northern Settlement Services embraces the philosophy of Consumer Directed Care (CDC) by empowering you to have greater choice and flexibility  in the care and services you receive.","Agnosticism, Anglican, Armenian Apostolic, Assemblies of God, Assyrian Church of the East, Atheism, Baptist, Buddhism, Catholic, Chinese Religions, Churches of Christ, Druse, Eastern Orthodox, Greek Orthodox, Hinduism, Islam, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Macedonian Orthodox, No religion, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian, Presbyterian and Reformed, Romanian Orthodox, Russian Orthodox, Salvation Army, Serbian Orthodox, Seventh-day Adventist, Ukrainian Orthodox, Uniting Church"
872,"Melbourne City Council","90-130 SWANSTON Street, MELBOURNE, 3000, VIC","VIC",3000,"MELBOURNE","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.melbourne.vic.gov.au","ads@melbourne.vic.gov.au","+610396589658","TRUE","The City of Melbourne Home Care Packages are tailored to meet your individual needs.



An experienced Case Manager will meet with you in person, understand your individual circumstances and be available if you have any questions. 



They will be respectful of your wishes in assisting you to develop a plan for services and supports that will enable you to stay at home as long as possible.



As a not-for-profit organisation, our interest is in delivering choice and quality of services to you.",""
873,"Mercy Health Home Community Care Colac","83-99 QUEEN Street, COLAC, 3250, VIC","VIC",3250,"COLAC","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://goo.gl/a3sg2B","mhcc@mercy.com.au","+610352335603","TRUE","Our experienced team offers you the right support around your home and beyond, whenever you need it, to keep living the life you love.

 

A trusted not-for-profit provider whose mission is to ‘care first’, we deliver personalised help to make life that little bit easier.

 

Our flexible services can make your day run smoothly. We can help you get ready for the day, keep your home clean and tidy, stay healthy and safe, attend appointments, catch up with family and friends, have a friendly face call by, use technology to support your safety, or anything else you need to enjoy life. We can support you whenever you need us, from one hour a week to 24/7. We can provide care under a range of funding models, including Home Care Packages, and expert advice to help you get the most out of your service, every step of the way.

 

A simple chat with Mercy Health can give you and your loved ones the help you need to continue to live life – your way.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
875,"Vincentcare Home Care Packages Program","197 FLEMINGTON Road, NORTH MELBOURNE, 3051, VIC","VIC",3051,"NORTH MELBOURNE","07:00","18:00","TRUE","TRUE","dementia","reablement","respite","FALSE","mental","http://www.vincentcare.org.au","deborah.harvey@vincentcare.org.au","+6193212912","TRUE","As you age, living independently in the comfort of your own home can be increasingly difficult. Getting to doctor’s appointments, doing your weekly shopping, or staying connected to family and friends are things that can fall by the wayside. This is where a personalised Home Care Package with VincentCare can help you.



We are committed to the principles of social justice and aim to ensure every individual is treated with dignity and respect regardless of their ability, cultural background, ethnicity, gender identity, sexual orientation or religion.","Anglican, Catholic, Churches of Christ, Other Christian, Other Protestant, Presbyterian and Reformed, Uniting Church"
877,"Bene Casa Home Care Packages Packages Level Metro East","Level N/A, 480 WOODVILLE Road, WOODVILLE NORTH, 5012, SA","SA",5012,"WOODVILLE NORTH","09:00","17:00","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://www.bene.org.au","admincommunity@bene.org.au","+6181312000","TRUE","Over  the  past  40  years,  Bene Aged Care has been responding to the needs of the Italian community in South Australia  delivering  culturally  appropriate  services.  Today,  Bene  Aged  Care  is  South Australia’s leading multicultural aged care service provider, partnering with over 2500 members of our older and diverse community to remain living well and healthy at home. 

Bene Aged Care employs bilingual staff from many cultural backgrounds so you can be assured, our partnership is based on respect, inclusiveness and  thoughtfulness,  encompassing  your cultural,  spiritual, linguistic and physical needs and aspirations.

This means Bene Aged Care will empower you to live a full life in the place of your choosing  by providing culturally sensitive services of high quality, meeting your individual needs and encourage positive ageing and wellbeing.

Let’s chat – 8131 2000","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
879,"RSL Care Ipswich Bolton Clarke","32 Grange Road, EASTERN HEIGHTS, 4305, QLD","QLD",4305,"EASTERN HEIGHTS","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.rslcare.com.au/our-services/homecare/our-homecare-services/","ipswichhc2@rslcare.com.au","+610738170400","TRUE","RSL Care and RDNS have come together and become Bolton Clarke. This will allow more services and support to our people right across the country. Wherever you live, we'll work with you provide the support and services you need to live the best life possible. Bolton Clarke At Home Support is a range of practical, flexible services covering Home Nursing, Home Assistance, Allied Health and Mental Health. If you need extra help around the house, or someone to drive you to your shopping or community activity we are here to help.","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, New Churches (Swedenborgian), No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism"
